"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CU_Name","CusoName","City","IsWhollyOwned","Investment","Loan","CashOutlay","Check_cur_serv","Cler_prof_mgt_serv","Bus_ln_orig","Cons_mtg_orig","Elect_trans_serv","Fin_con_serv","FA_serv","Ins_br_ag","Leasing","Ln_supp_serv","RR_sec_DR_serv","Ins_br_serv","Shr_branch_ops","St_Ln_orig","Trav_ag_serv","Trusts","RE_br_serv","CUSOinv_nonCUSO","CC_ln_orig","pay_proc_serv","Other","OtherCusoServiceType","DateCreated","DateUpdated","InvestmentAccountingTypeName","StateCode"
5,12/31/2012 0:00:00,6,"FIRST CASTLE","CUCB","Harahan",0,50000,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/17/2013 17:50:00,"Cost Method","LA"
6,12/31/2012 0:00:00,7,"THE NEW ORLEANS FIREMEN'S","Simply Intergrated Platform Solutions, LLC","San Bernardino",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Software development",8/27/2009 22:11:00,1/24/2013 18:12:00,"","CA"
6,12/31/2012 0:00:00,7,"THE NEW ORLEANS FIREMEN'S","Ongoing Operations, LLC","Maugansville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/24/2013 18:12:00,"","MD"
6,12/31/2012 0:00:00,7,"THE NEW ORLEANS FIREMEN'S","ICUL Service Corporation","Naperville",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/24/2013 18:12:00,"","IL"
6,12/31/2012 0:00:00,7,"THE NEW ORLEANS FIREMEN'S","Credit Union Cooperative Branching, LLC","Harahan",0,50000,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/24/2013 18:12:00,"Cost Method","LA"
6,12/31/2012 0:00:00,7,"THE NEW ORLEANS FIREMEN'S","Catalyst Strategic Solutions","Plano",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"ALM Services",8/27/2009 22:11:00,1/24/2013 18:12:00,"","TX"
13,12/31/2012 0:00:00,12,"E","CU24","Tallahassee",0,20296,0,20296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"",8/27/2009 22:11:00,1/31/2013 15:38:00,"Cost Method","FL"
13,12/31/2012 0:00:00,12,"E","Credit Union Cooperative Branching","Harahan",0,100000,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/31/2013 15:38:00,"Cost Method","LA"
13,12/31/2012 0:00:00,12,"E","Business Alliance Financial Services LLC","Shreveport",0,39417,0,39417,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/31/2013 15:38:00,"Cost Method","LA"
22,12/31/2012 0:00:00,17,"WATERBURY CONNECTICUT TEACHER","Mortgage Market CUSO","Houghton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"First Mortgage Origination",8/27/2009 22:11:00,1/17/2013 12:20:00,"","MI"
28,12/31/2012 0:00:00,21,"CENTRIS","Centris Services Group","Omaha",1,80997,0,9000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/7/2013 9:52:00,"Consolidation","NE"
28,12/31/2012 0:00:00,21,"CENTRIS","NE CU ATM Services, LLC","Lincoln",0,9000,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"ATM",8/27/2009 22:11:00,1/7/2013 9:52:00,"Cost Method","NE"
42,12/31/2012 0:00:00,29,"FD COMMUNITY","Waterburyfirefighters Credit Union Service Organization, Inc","Waterbury",1,407582,0,407582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Property Management Service",8/27/2009 22:11:00,1/18/2013 15:02:00,"Consolidation","CT"
48,12/31/2012 0:00:00,31,"MISSISSIPPI POSTAL EMPLOYEES","CU24","Tallahassee",0,4008,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"ATM Surchrge Free Network",8/27/2009 22:11:00,2/5/2013 16:56:00,"Cost Method","FL"
51,12/31/2012 0:00:00,32,"STATE EMPLOYEES","SEFCU Services LLC","Albany",1,11024297,18400000,5000000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/17/2013 16:21:00,"Consolidation","NY"
51,12/31/2012 0:00:00,32,"STATE EMPLOYEES","SEFCU Insurance Agency","Albany",1,5221236,0,5000000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/17/2013 16:21:00,"Consolidation","NY"
51,12/31/2012 0:00:00,32,"STATE EMPLOYEES","PSCU Financial Services","St Petersburg",0,270028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",8/27/2009 22:11:00,1/17/2013 16:21:00,"Cost Method","FL"
53,12/31/2012 0:00:00,33,"MOTION","Cumanet","Basking Ridge",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/16/2013 15:16:00,"","NJ"
60,12/31/2012 0:00:00,35,"SIOUX FALLS","Dakota Financial Services","Aberdeen",0,5000,0,5000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/7/2013 14:06:00,"Cost Method","SD"
77,12/31/2012 0:00:00,41,"SERVICE FIRST","TMG Financial Services","Des Moines",0,0,500000,500000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,8/27/2009 22:11:00,1/18/2013 15:46:00,"","IA"
77,12/31/2012 0:00:00,41,"SERVICE FIRST","Prodraft Services Inc","Bismarck",0,45817,0,45817,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/18/2013 15:46:00,"Cost Method","ND"
77,12/31/2012 0:00:00,41,"SERVICE FIRST","Dakota Financial Services, Inc.","Aberdeen",0,5000,0,5000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/18/2013 15:46:00,"Cost Method","SD"
78,12/31/2012 0:00:00,42,"BAY RIDGE","Share One Inc.","Memphis",0,25000,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"data processing",8/27/2009 22:11:00,1/18/2013 16:22:00,"Cost Method","TN"
79,12/31/2012 0:00:00,43,"CAMPUS","CUSC","Baton Rouge",0,150000,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/24/2013 15:25:00,"Cost Method","LA"
79,12/31/2012 0:00:00,43,"CAMPUS","CUBG","Portland",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/24/2013 15:25:00,"","OR"
79,12/31/2012 0:00:00,43,"CAMPUS","CNBS, LLC","Overland Park",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/24/2013 15:25:00,"","KS"
80,12/31/2012 0:00:00,44,"AMERICAN EAGLE","PSCU Financial Services","Tampa",0,860964,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/18/2013 12:13:00,"Cost Method","FL"
80,12/31/2012 0:00:00,44,"AMERICAN EAGLE","American Eagle Financial Services, LLC","East Hartford",1,478671,0,30000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/18/2013 12:13:00,"Consolidation","CT"
118,12/31/2012 0:00:00,61,"THE PARTNERSHIP","PSCU","Saint Petersburg",0,45241,0,45241,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,2/4/2013 11:12:00,"","FL"
118,12/31/2012 0:00:00,61,"THE PARTNERSHIP","Ongoing Operations","Hagerstown",0,150000,0,150000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,2/4/2013 11:12:00,"","MD"
118,12/31/2012 0:00:00,61,"THE PARTNERSHIP","CUMA","Fairfax",0,6000,0,6000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,2/4/2013 11:12:00,"","VA"
118,12/31/2012 0:00:00,61,"THE PARTNERSHIP","CU24","Tallahassee",0,6565,0,6565,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,2/4/2013 11:12:00,"","FL"
118,12/31/2012 0:00:00,61,"THE PARTNERSHIP","CU Cooperative Systems Inc","Rancho Cucamonga",0,62512,0,62512,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,2/4/2013 11:12:00,"","CA"
120,12/31/2012 0:00:00,63,"COUNTY EDUCATORS","Symbionce Financial Solutions, LLC","East Hanover",0,726255,0,600000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/17/2013 9:49:00,"Equity Method","NJ"
120,12/31/2012 0:00:00,63,"COUNTY EDUCATORS","PSCU","Tampa",0,8168,0,9800,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/17/2013 9:49:00,"Equity Method","FL"
138,12/31/2012 0:00:00,72,"VIGO COUNTY","Credit Union Centers of Indiana, LLC","Indianapolis",0,282,0,282,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/15/2013 14:21:00,"Cost Method","IN"
150,12/31/2012 0:00:00,77,"FEDCHOICE","CO-OP Financial Service","Duluth",0,20100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/18/2013 13:29:00,"Cost Method","GA"
150,12/31/2012 0:00:00,77,"FEDCHOICE","Credit Union Auto Loan Network, LLC","Linthicum",0,23600,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/18/2013 13:29:00,"","MD"
150,12/31/2012 0:00:00,77,"FEDCHOICE","FedChoice CUSO, LLC","Lanham",1,177205,0,20000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/18/2013 13:29:00,"Consolidation","MD"
150,12/31/2012 0:00:00,77,"FEDCHOICE","CUMA","Fairfax",0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"",8/27/2009 22:11:00,1/18/2013 13:29:00,"","VA"
